Subject,age,race,race_7_TEXT,maritalstatus,education,yearseducation,english.as.a.first.language,if.not.english.then.what,english.comfort.talk,english.comfort.read,usstate,Children,Children_number,Siblings,Siblings_2_number,Church,Household income,employmentindustry,OverallHealth,BFI.1_1,BFI.1_2,BFI.1_3,BFI.1_4,BFI.1_5,BFI.1_6,BFI.1_7,BFI.1_8,BFI.1_9,BFI.1_10,BFI.2_1,BFI.2_2,BFI.2_3,BFI.2_4,BFI.2_5,BFI.2_6,BFI.2_7,BFI.2_8,BFI.2_9,BFI.2_10,BFI.3_1,BFI.3_2,BFI.3_3,BFI.3_4,BFI.3_5,BFI.3_6,BFI.3_7,BFI.3_8,BFI.3_9,BFI.3_10,BFI.4_1,BFI.4_2,BFI.4_3,BFI.4_4,BFI.4_5,BFI.4_6,BFI.4_7,BFI.4_8,BFI.4_9,BFI.4_10,BFI.5_1,BFI.5_2,BFI.5_3,BFI.5_4,BFI.5_5,BFI.5_6,BFI.5_7,BFI.5_8,BFI.5_9,BFI.5_10,BFI.6_1,BFI.6_2,BFI.6_3,BFI.6_4,BFI.6_5,BFI.6_6,BFI.6_7,BFI.6_8,BFI.6_9,BFI.6_10,BFI_E,BFI_A,BFI_C,BFI_N,BFI_O
57,64,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,New York,No,0,"Yes, I have ___ siblings",2,No,"$100,000 - $150,000","Management, professional, and related",Excellent,5,5,1,4,1,4,5,2,5,5,1,3,5,1,5,3,1,4,4,5,3,2,1,5,1,1,4,1,4,1,1,5,4,1,5,2,1,5,1,5,5,2,5,5,1,5,1,1,5,1,2,5,5,1,1,5,4,1,1,5,53,54,57,17,60
58,66,White,,Married,Associate degree,14,Yes,,Very comfortable,Very comfortable,Illinois,"Yes, I have ___ children",1,"Yes, I have ___ siblings",1,Yes,"$100,000 - $150,000","Management, professional, and related",Very good,5,5,1,4,2,4,5,1,4,4,2,1,5,1,5,2,1,5,4,5,5,1,1,5,1,2,4,1,5,1,2,5,5,2,4,1,1,5,1,4,4,2,5,5,1,4,1,1,4,2,2,5,5,1,2,4,4,1,2,5,51,57,60,20,54
59,69,White,,Single,"Some college, no degree",15,Yes,,Very comfortable,Very comfortable,Vermont,No,0,No,0,No,"$20,000 - $34,999",Retired,Fair,3,5,3,2,1,3,5,3,3,5,3,2,5,3,5,4,1,3,4,5,2,2,4,4,1,3,3,2,3,1,4,5,3,3,5,3,1,3,3,5,3,3,5,3,1,4,1,3,3,1,3,5,3,3,1,4,3,1,3,5,35,52,42,37,60
60,73,White,,Living with a partner,"Some college, no degree",16,Yes,,Very comfortable,Very comfortable,Washington,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"$35,000 - $49,999","Management, professional, and related",Good,4,4,1,5,1,4,5,1,5,5,1,1,5,1,5,4,2,5,1,5,5,1,1,5,2,1,4,1,5,1,5,5,5,1,5,1,2,5,4,4,5,1,5,5,1,2,4,1,5,1,2,5,5,2,1,5,5,1,1,5,47,53,60,16,58
61,76,White,,Divorced,Associate degree,15,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",3,"Yes, I have ___ siblings",4,No,"$20,000 - $34,999",Retired,Excellent,2,5,1,4,2,1,5,1,4,5,2,4,5,2,5,4,1,5,4,4,2,2,2,4,2,4,2,2,4,1,3,4,5,2,4,4,2,5,2,3,3,2,5,4,1,4,2,1,3,2,4,5,5,1,1,4,4,2,1,4,31,48,57,25,52
62,63,White,,Divorced,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Arkansas,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,Yes,"$20,000 - $34,999",Retired,Very good,3,4,1,4,3,4,5,1,4,4,4,3,4,1,4,2,2,5,4,3,4,2,1,4,2,2,3,1,5,2,1,4,5,2,4,2,2,5,1,4,3,4,4,4,1,3,2,1,4,3,1,5,5,2,3,3,2,2,1,3,44,44,57,22,44
63,62,White,,Married,Bachelor's degree,17,"No, my first language is: __",Lithuanian,Very comfortable,Very comfortable,Georgia,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"$100,000 - $150,000","Management, professional, and related",Very good,4,3,1,5,1,3,5,1,5,5,1,4,5,1,5,4,5,5,4,5,4,4,1,5,1,1,5,3,5,1,4,5,5,1,5,3,4,5,1,5,5,3,5,5,1,3,4,1,5,1,3,5,5,1,1,5,2,5,1,5,44,37,54,15,60
64,60,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,New York,"Yes, I have ___ children",3,"Yes, I have ___ siblings",4,No,"$75,000 - $99,999",Retired,Good,3,5,2,5,2,3,4,1,4,5,3,1,5,1,4,3,1,5,2,3,3,1,2,4,1,4,3,2,5,2,4,4,4,1,3,2,4,4,1,3,2,2,4,5,1,4,1,2,5,4,1,5,4,1,2,1,3,4,1,4,35,50,49,15,46
65,67,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Indiana,No,0,"Yes, I have ___ siblings",1,No,"$50,000 - $74,999",Retired,Good,2,3,1,3,4,4,5,4,3,5,4,4,5,1,4,4,3,5,1,3,4,2,3,3,1,5,4,1,5,3,3,5,5,1,3,2,2,5,2,4,2,2,5,5,2,3,3,1,5,4,3,5,5,2,2,2,4,1,1,4,32,46,55,20,43
66,60,White,,Married,Master's degree,18,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",1,"Yes, I have ___ siblings",2,Yes,"$100,000 - $150,000","Management, professional, and related",Very good,4,4,2,5,1,3,5,2,5,4,1,4,5,2,5,3,2,4,2,5,4,1,1,4,4,4,3,1,5,1,2,4,4,2,5,1,1,5,2,4,4,2,4,5,1,4,2,2,4,2,2,5,5,2,5,5,4,2,2,5,47,49,53,20,50
67,55,White,,Single,Master's degree,18,Yes,,Very comfortable,Very comfortable,West Virginia,No,0,"Yes, I have ___ siblings",1,No,"Under $10,000",Sales and office,Very good,1,5,2,5,1,5,5,1,5,5,1,1,5,1,5,5,1,5,1,5,3,1,5,5,1,4,5,1,5,1,5,5,4,1,5,3,1,5,1,5,5,1,5,5,1,1,1,1,5,1,1,5,5,1,1,5,5,1,1,5,37,60,54,12,60
68,68,White,,Single,Professional degree,19,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",4,"Yes, I have ___ siblings",1,Yes,"$100,000 - $150,000","Management, professional, and related",Good,5,5,4,5,2,4,5,2,4,4,1,1,5,1,5,1,1,1,1,4,5,1,1,5,1,1,5,4,5,1,1,5,4,1,5,1,1,5,1,4,5,1,5,5,1,5,1,1,5,1,1,5,5,1,1,5,5,1,1,4,59,60,48,13,55
69,72,White,,Divorced,Bachelor's degree,17,Yes,,Very comfortable,Very comfortable,Washington,"Yes, I have ___ children",2,"Yes, I have ___ siblings",4,Yes,"$35,000 - $49,999",Retired,Good,4,5,2,2,3,1,5,1,4,5,4,1,5,1,3,4,1,4,4,4,1,1,2,3,2,2,5,1,4,3,4,5,4,4,4,3,1,4,4,3,2,2,5,4,1,3,1,1,2,2,4,5,5,3,2,2,4,1,1,3,28,58,55,34,45
70,67,White,,Living with a partner,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Florida,No,0,No,0,No,"$50,000 - $74,999",Service,Good,4,4,1,5,1,5,5,1,5,5,2,2,5,1,5,3,4,5,1,5,5,1,1,5,1,1,2,1,5,1,1,4,4,1,5,1,1,5,2,4,4,5,5,5,1,3,2,1,5,1,1,5,5,2,1,4,2,1,1,5,52,43,59,14,59
71,70,White,,Divorced,Master's degree,18,Yes,,Very comfortable,Very comfortable,Utah,"Yes, I have ___ children",1,"Yes, I have ___ siblings",5,No,"$75,000 - $99,999",Retired,Good,2,5,3,4,2,3,5,4,5,5,3,2,4,1,3,4,1,3,2,5,3,1,4,4,1,2,5,2,1,3,4,5,3,2,4,3,1,4,1,4,3,2,4,3,2,2,1,2,4,1,4,5,5,1,2,3,4,1,1,3,32,57,43,23,49
72,63,White,,Divorced,Bachelor's degree,18,Yes,,Very comfortable,Very comfortable,Michigan,No,0,No,0,No,"$20,000 - $34,999",Retired,Good,3,4,2,4,3,3,5,2,4,5,3,2,4,3,4,4,2,4,4,4,2,1,1,4,1,3,4,3,4,2,4,4,4,3,4,3,2,4,3,4,3,3,4,4,2,3,3,2,2,1,3,4,4,2,2,2,4,3,2,4,32,48,47,31,50
73,68,White,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Georgia,"Yes, I have ___ children",1,"Yes, I have ___ siblings",0,Yes,"$20,000 - $34,999",Service,Good,4,5,2,4,2,1,5,1,4,5,2,4,4,2,4,4,1,4,4,,1,2,4,2,1,1,4,2,4,1,5,5,4,5,5,5,1,4,2,4,4,4,4,4,1,4,1,1,2,1,4,5,5,1,,4,4,5,1,4,33,51,46,31,46
74,69,White,,Married,Master's degree,18,Yes,,Very comfortable,Very comfortable,Connecticut,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,Yes,"Over $150,000","Management, professional, and related",Fair,2,5,1,4,4,4,4,1,4,4,2,1,5,1,4,4,1,4,2,2,5,1,1,5,2,1,4,2,4,2,5,4,2,1,1,3,1,5,1,4,5,1,5,3,2,3,1,1,3,5,1,4,5,1,2,4,5,1,1,4,43,56,55,20,38
75,68,White,,Divorced,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,California,No,0,"Yes, I have ___ siblings",2,No,"$50,000 - $74,999",Service,Very good,2,5,1,4,3,4,4,1,4,5,2,4,5,2,5,5,1,5,4,3,4,2,4,5,1,4,4,1,5,1,5,2,4,1,4,2,1,5,1,5,4,5,5,5,1,3,4,1,5,4,1,5,5,1,1,4,2,1,2,5,38,41,56,19,52
76,62,Asian,,Married,Master's degree,18,"No, my first language is: __",Chinese,Comfortable,Comfortable,Massachusetts,"Yes, I have ___ children",3,"Yes, I have ___ siblings",2,Yes,"$75,000 - $99,999","Production, transportation, and material moving",Good,4,4,1,4,4,3,4,1,4,4,4,3,4,1,4,3,1,4,2,4,3,3,2,4,2,2,4,2,4,2,2,4,4,3,4,3,2,4,2,4,4,2,4,4,2,4,1,2,4,2,4,4,4,2,2,4,4,1,1,4,40,48,51,23,46
77,65,White,,Married,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Rhode Island,"Yes, I have ___ children",1,"Yes, I have ___ siblings",2,No,"$50,000 - $74,999",Government,Good,2,5,1,2,1,2,5,1,4,5,2,1,5,2,4,5,1,4,4,5,2,2,1,4,1,1,4,1,5,2,4,5,4,3,5,3,1,5,2,5,3,2,5,5,2,2,1,1,2,1,4,5,5,2,1,3,5,2,2,5,31,57,57,29,57
78,76,White,,Divorced,Master's degree,18,Yes,,Very comfortable,Very comfortable,Arizona,No,0,"Yes, I have ___ siblings",2,No,"$35,000 - $49,999","Management, professional, and related",Fair,2,5,1,4,1,5,4,1,4,5,1,4,5,1,5,3,1,5,4,5,5,2,1,5,1,3,2,1,5,1,5,5,5,4,5,1,2,5,1,5,3,1,5,4,1,3,1,1,3,1,1,4,5,1,1,3,3,1,1,5,43,48,60,23,60
79,65,White,,Married,Master's degree,18,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",1,"Yes, I have ___ siblings",5,No,"$50,000 - $74,999",Service,Good,4,5,4,4,1,3,5,1,4,5,1,1,5,1,5,3,1,3,3,5,3,1,3,5,1,1,5,3,5,1,4,5,2,4,5,3,1,4,3,4,4,1,4,4,1,3,1,1,5,1,3,5,4,3,1,3,5,1,1,5,41,60,45,24,59
80,64,Black or African American,,Single,Bachelor's degree,12,Yes,,Very comfortable,Very comfortable,Virginia,No,0,"Yes, I have ___ siblings",6,No,"$10,000 - $19,999","Management, professional, and related",Fair,5,4,1,4,1,4,5,1,2,5,1,1,5,4,4,2,2,4,4,5,3,1,2,5,1,2,2,2,3,1,1,4,4,5,5,2,2,5,5,3,2,4,5,3,1,4,2,1,1,1,2,5,4,5,1,3,2,2,1,3,47,46,54,42,55
81,75,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Tennessee,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,Yes,"$50,000 - $74,999",Retired,Very good,2,5,1,3,2,1,5,1,5,4,1,3,5,2,4,5,1,5,2,2,1,1,1,4,3,1,5,2,4,2,4,4,5,3,2,4,3,5,2,3,5,2,5,4,1,1,1,1,3,4,5,5,5,2,3,4,5,3,2,4,30,54,57,26,40
82,65,White,,Married,Bachelor's degree,15,Yes,,Very comfortable,Very comfortable,Florida,No,0,"Yes, I have ___ siblings",3,No,"$75,000 - $99,999","Management, professional, and related",Good,5,2,1,5,1,5,4,1,5,5,1,4,5,1,5,1,4,5,1,4,5,1,1,5,1,3,1,1,5,1,1,4,4,1,4,1,4,5,1,5,4,3,5,5,1,5,5,1,5,2,1,4,5,1,1,5,3,1,1,5,57,33,59,12,57
83,82,White,,Living with a partner,Professional degree,18,Yes,,Very comfortable,Very comfortable,Georgia,No,0,"Yes, I have ___ siblings",1,No,"$50,000 - $74,999",Retired,Excellent,4,5,4,5,4,2,5,4,5,5,4,2,5,1,4,5,1,4,4,5,4,1,5,5,5,2,5,4,5,4,4,5,4,4,5,4,1,4,1,1,4,2,5,5,4,2,1,1,5,1,4,5,4,1,4,4,5,2,1,4,33,58,42,18,38
84,61,White,,Single,Professional degree,20,Yes,,Very comfortable,Very comfortable,Connecticut,No,0,"Yes, I have ___ siblings",3,No,"$35,000 - $49,999","Management, professional, and related",Very good,2,,1,2,3,2,5,3,3,5,3,2,5,1,3,4,1,3,5,4,1,1,3,3,1,3,4,1,5,3,5,4,3,4,4,2,1,4,2,5,2,2,5,5,1,2,1,2,2,1,4,5,5,3,1,2,4,2,1,3,26,50,49,32,50
85,64,White,,Widowed,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,South Carolina,"Yes, I have ___ children",2,"Yes, I have ___ siblings",4,No,"$20,000 - $34,999",Retired,Fair,1,4,1,4,5,2,4,4,4,4,1,4,4,1,1,4,1,4,4,4,1,4,1,4,1,4,4,1,4,5,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,2,2,1,1,4,5,4,5,4,5,4,4,1,4,1,26,41,52,36,27
86,60,White,,Married,High school degree or equivalent,14,Yes,,Very comfortable,Very comfortable,Alabama,No,0,"Yes, I have ___ siblings",2,Yes,"$50,000 - $74,999","Production, transportation, and material moving",Good,4,4,5,4,1,3,4,3,3,5,1,4,3,3,5,4,2,2,4,5,4,2,4,4,1,3,3,3,4,1,4,3,2,2,5,4,3,4,2,5,2,4,3,4,1,3,2,4,3,2,2,4,2,3,1,4,3,3,2,5,38,40,30,30,59
87,65,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",2,"Yes, I have ___ siblings",7,No,"$75,000 - $99,999",Retired,Very good,4,5,1,4,1,1,3,2,5,5,1,1,4,1,5,3,1,3,2,5,1,1,3,4,2,1,5,1,4,1,3,5,4,2,5,3,1,4,1,4,3,2,4,4,1,3,1,1,5,2,4,4,3,1,1,4,4,1,1,5,37,55,49,18,57
88,62,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Minnesota,"Yes, I have ___ children",3,No,0,No,"Over $150,000",Government,Very good,2,2,1,5,3,3,4,1,5,5,4,4,5,1,4,5,4,3,1,4,4,3,1,5,1,3,2,1,5,2,2,4,3,1,4,2,3,5,1,5,3,4,5,5,2,2,4,1,5,2,1,5,5,1,1,3,2,1,1,5,36,33,56,12,52
89,75,White,,Married,Master's degree,24,Yes,,Very comfortable,Very comfortable,Tennessee,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,Yes,"$100,000 - $150,000",Retired,Very good,5,4,1,5,2,4,5,1,4,4,2,2,4,2,5,2,2,4,2,4,5,2,1,5,1,2,3,2,4,2,2,4,3,1,4,2,2,5,1,4,4,2,4,4,1,5,2,1,4,2,1,5,5,1,1,4,4,2,2,5,52,49,53,19,53
90,66,Black or African American,,Divorced,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,North Carolina,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,Yes,"$50,000 - $74,999",Retired,Good,2,2,1,3,4,1,5,1,4,4,4,2,5,1,5,4,2,5,2,2,5,1,1,4,1,1,3,2,5,3,3,4,4,2,4,2,1,5,1,3,4,1,5,4,2,3,1,1,3,3,4,5,5,1,4,3,4,1,1,4,36,51,58,21,41
91,64,White,,Divorced,Associate degree,14,Yes,,Very comfortable,Very comfortable,Indiana,"Yes, I have ___ children",2,"Yes, I have ___ siblings",4,Yes,"$20,000 - $34,999","Management, professional, and related",Fair,4,5,1,3,2,1,5,1,4,4,1,1,4,2,4,4,1,5,3,5,1,1,2,3,3,4,5,1,3,2,4,5,5,5,5,5,1,5,1,3,2,1,5,3,2,3,1,1,1,2,5,5,4,1,2,3,4,1,2,4,27,59,57,33,48
92,65,White,,Separated,Professional degree,42,Yes,,Very comfortable,Very comfortable,West Virginia,"Yes, I have ___ children",5,"Yes, I have ___ siblings",2,No,"$20,000 - $34,999","Management, professional, and related",Good,2,5,4,2,1,4,5,1,2,5,4,4,5,4,4,4,1,2,4,5,4,1,4,4,1,2,3,2,3,2,4,5,2,5,5,2,2,4,5,5,2,1,5,2,2,2,1,2,2,1,3,4,5,5,5,2,4,4,2,3,33,52,42,46,51
93,65,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,North Carolina,No,0,"Yes, I have ___ siblings",1,No,"$100,000 - $150,000","Management, professional, and related",Very good,4,5,1,4,1,1,5,1,5,5,1,1,5,1,4,1,1,5,1,5,4,1,1,5,1,1,5,1,4,2,1,5,5,2,5,2,1,5,1,4,5,1,5,5,1,5,1,1,4,1,3,5,5,1,1,5,4,1,1,4,51,59,60,16,56
94,68,White,,Married,Doctorate,21,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"$20,000 - $34,999",Retired,Fair,1,2,3,4,4,5,5,2,4,5,2,3,4,2,5,5,4,3,3,5,4,3,3,4,1,4,2,2,4,2,5,4,2,3,5,2,3,4,2,5,2,3,4,5,2,3,3,3,4,2,2,4,5,2,1,4,3,2,1,5,35,37,43,24,54
95,68,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,California,"Yes, I have ___ children",1,"Yes, I have ___ siblings",6,No,"$75,000 - $99,999",Retired,Good,4,4,2,5,5,4,5,3,5,5,4,3,5,4,3,3,2,4,3,2,4,2,2,5,3,2,4,3,4,4,2,4,4,2,3,3,3,4,3,3,3,2,4,4,2,3,3,2,4,5,4,5,5,2,3,3,4,2,3,3,39,47,48,26,33
96,73,White,,Divorced,Master's degree,18,Yes,,Very comfortable,Very comfortable,Minnesota,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,No,"$50,000 - $74,999",Retired,Very good,2,5,2,5,1,4,5,1,4,5,1,2,5,2,4,4,1,3,2,5,4,1,3,5,2,4,4,1,5,1,5,4,3,3,5,3,2,4,2,5,4,2,4,4,1,2,2,1,2,1,2,5,4,2,1,5,5,1,2,5,38,54,50,24,58
97,62,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Florida,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,Yes,"Over $150,000","Management, professional, and related",Excellent,4,4,1,5,4,3,5,1,5,5,2,2,5,1,5,2,2,4,1,2,3,1,1,5,2,1,5,1,5,2,2,5,5,1,4,1,2,5,1,5,5,1,5,5,1,3,2,1,5,4,2,4,5,1,4,5,5,1,1,5,49,54,59,12,45
98,61,White,,Married,Master's degree,20,Yes,,Very comfortable,Very comfortable,Massachusetts,"Yes, I have ___ children",2,"Yes, I have ___ siblings",2,No,"$100,000 - $150,000","Management, professional, and related",Very good,5,5,1,5,2,4,5,1,4,5,1,1,5,2,,4,1,5,1,4,3,1,1,5,1,1,5,1,5,2,4,5,5,1,5,2,1,5,1,4,5,1,5,4,2,5,1,1,5,1,2,5,5,1,1,5,5,1,4,4,49,60,60,18,49
99,65,White,,Married,Doctorate,20,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",2,"Yes, I have ___ siblings",3,No,"$100,000 - $150,000",Retired,Excellent,4,5,1,4,1,2,5,1,5,5,1,2,4,3,5,4,1,4,3,5,3,1,1,4,1,1,4,2,3,1,4,5,4,2,5,2,2,4,2,5,4,2,5,4,1,3,2,1,3,1,3,5,5,2,1,4,4,2,2,5,41,54,54,27,60
100,75,White,,Divorced,Doctorate,25,Yes,,Very comfortable,Very comfortable,Indiana,"Yes, I have ___ children",1,"Yes, I have ___ siblings",2,No,"$10,000 - $19,999",Retired,Good,4,5,2,3,1,5,5,4,3,5,5,4,5,2,5,1,1,5,5,5,5,1,5,3,1,5,3,2,3,1,4,5,1,3,5,3,4,5,5,5,1,1,4,3,1,5,1,1,2,1,1,5,4,5,1,3,4,3,3,5,40,51,43,42,60
101,74,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Indiana,"Yes, I have ___ children",3,"Yes, I have ___ siblings",4,Yes,"$35,000 - $49,999",Retired,Very good,3,4,2,2,2,3,5,2,3,5,2,2,5,2,5,3,2,4,4,4,3,2,2,4,1,1,3,3,2,2,4,4,4,4,4,3,2,5,2,5,4,2,5,4,1,3,2,2,2,2,2,4,4,2,1,3,4,1,2,4,40,48,51,35,54
102,64,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,New York,No,0,"Yes, I have ___ siblings",1,No,"Over $150,000",Retired,Very good,5,5,1,5,1,3,5,1,5,5,1,1,5,1,5,3,5,4,1,5,3,1,1,5,1,1,5,1,5,1,2,5,5,1,5,2,1,5,1,5,,1,5,5,1,4,1,1,1,1,1,5,5,1,1,5,5,1,1,5,46,56,59,16,60
103,61,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,South Carolina,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,Yes,"$75,000 - $99,999",Retired,Excellent,4,5,1,4,5,4,5,1,3,4,2,4,5,2,1,3,1,5,5,1,3,1,1,4,5,1,4,2,4,4,3,5,5,4,4,3,2,5,1,2,5,4,5,4,4,2,1,1,3,5,4,5,5,1,5,3,3,1,3,1,41,50,59,30,21
104,66,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Kentucky,"Yes, I have ___ children",2,"Yes, I have ___ siblings",10,No,"Over $150,000",Retired,Very good,5,5,1,4,4,4,5,1,4,2,1,2,4,2,4,3,1,5,2,2,4,1,1,5,5,1,5,1,4,3,2,4,5,1,3,2,2,5,1,1,4,3,4,4,2,4,1,1,5,5,2,5,4,1,4,4,3,1,2,4,50,53,57,19,29
105,71,White,,Married,"Some college, no degree",15,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"$35,000 - $49,999",Retired,Excellent,4,5,1,4,1,2,5,1,5,5,1,1,5,1,5,5,1,5,2,5,2,1,1,5,1,1,5,1,5,1,4,5,5,1,5,3,1,5,1,5,5,4,5,5,1,3,1,1,3,1,3,5,4,1,2,5,5,1,1,4,40,57,59,16,58
106,63,White,,Married,Bachelor's degree,16,Yes,,Very comfortable,Very comfortable,Colorado,"Yes, I have ___ children",5,"Yes, I have ___ siblings",2,Yes,"$75,000 - $99,999","Management, professional, and related",Very good,4,5,1,3,5,5,5,2,5,5,4,3,5,3,4,4,1,5,4,3,5,4,3,4,2,2,5,4,4,5,3,4,4,3,3,2,3,4,3,4,4,4,5,4,3,4,3,1,3,5,2,4,5,3,4,3,2,3,3,4,44,43,50,32,35
107,64,White,,Married,Master's degree,18,Yes,,Very comfortable,Very comfortable,North Carolina,No,0,"Yes, I have ___ siblings",2,Yes,"Over $150,000",Retired,Very good,5,5,1,5,5,1,5,1,5,5,1,1,5,1,5,4,2,4,1,5,1,1,1,5,2,1,5,1,5,1,4,4,5,1,5,4,1,5,1,5,4,1,5,5,1,2,2,1,5,1,3,5,5,1,1,5,5,1,1,4,37,57,59,12,54
108,70,White,,Married,"Some college, no degree",14,Yes,,Very comfortable,Very comfortable,Pennsylvania,"Yes, I have ___ children",2,"Yes, I have ___ siblings",1,No,"$75,000 - $99,999","Management, professional, and related",Good,4,5,2,5,1,4,5,4,4,5,1,1,5,1,4,4,1,5,1,5,4,1,4,4,2,4,5,3,5,2,4,5,4,1,5,3,1,4,1,4,2,2,4,4,2,4,1,2,4,1,2,5,2,1,1,4,5,2,2,4,40,59,43,17,54
109,58,White,,Married,Master's degree,24,Yes,,Very comfortable,Very comfortable,Missouri,No,0,"Yes, I have ___ siblings",4,Yes,"$50,000 - $74,999",Sales and office,Excellent,5,4,1,5,1,1,5,1,4,1,5,1,5,1,1,1,1,3,1,4,2,1,1,1,1,1,3,1,5,1,1,1,5,1,4,1,1,5,1,5,5,1,5,5,1,3,1,1,5,1,1,5,4,1,1,5,5,1,1,5,47,53,57,17,50
110,68,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",4,"Yes, I have ___ siblings",3,No,"$35,000 - $49,999",Retired,Fair,3,5,3,2,2,1,5,3,3,5,1,3,4,4,4,1,5,4,4,5,3,2,2,4,5,4,5,4,3,1,4,5,3,3,4,5,4,4,3,4,4,4,5,2,1,5,1,2,2,1,4,4,4,3,1,3,3,2,3,4,36,44,44,40,51
111,66,White,,Married,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,Illinois,"Yes, I have ___ children",3,"Yes, I have ___ siblings",3,No,"$75,000 - $99,999","Farming, fishing, and forestry",Very good,1,5,3,4,2,1,5,1,4,5,4,2,5,1,4,4,5,5,2,4,1,2,3,5,1,4,2,2,5,3,4,4,4,1,5,5,1,5,1,4,3,4,5,4,4,4,1,1,5,3,4,5,5,1,1,3,2,1,1,4,24,44,54,16,48
112,66,White,,Single,"Some college, no degree",13,Yes,,Very comfortable,Very comfortable,Michigan,No,0,"Yes, I have ___ siblings",1,No,"$50,000 - $74,999","Management, professional, and related",Poor,1,5,4,2,2,5,4,3,4,4,5,3,5,2,5,5,1,5,5,2,5,4,4,5,2,5,4,4,1,1,5,5,2,4,4,2,4,5,2,4,1,2,5,2,1,1,4,3,1,2,2,4,4,2,3,3,4,2,4,5,28,44,42,40,49
113,74,White,,Single,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Massachusetts,"Yes, I have ___ children",1,"Yes, I have ___ siblings",1,No,"$75,000 - $99,999","Production, transportation, and material moving",Fair,5,5,4,3,1,5,4,3,4,5,1,5,5,2,5,2,1,3,4,5,5,5,4,3,1,2,4,4,2,1,1,5,2,4,5,1,4,3,5,5,3,1,5,3,1,5,1,4,4,1,1,4,4,3,1,4,5,3,3,5,55,46,36,38,60
114,59,White,,Married,Professional degree,19,Yes,,Very comfortable,Very comfortable,Washington,"Yes, I have ___ children",3,"Yes, I have ___ siblings",1,No,"Over $150,000","Management, professional, and related",Excellent,5,4,2,5,2,2,4,2,5,5,1,1,5,1,4,3,3,2,2,5,2,1,2,5,1,1,5,2,5,2,2,4,3,1,5,1,2,3,1,3,4,1,5,5,1,3,2,2,4,3,2,5,5,1,1,4,5,3,1,4,46,53,46,14,52
115,62,White,,Married,High school degree or equivalent,12,Yes,,Very comfortable,Very comfortable,Ohio,"Yes, I have ___ children",1,"Yes, I have ___ siblings",3,Yes,"$35,000 - $49,999",Retired,Very good,4,3,1,2,3,5,4,2,2,3,2,5,5,4,5,2,2,4,5,4,4,4,2,3,1,1,5,2,2,1,4,3,4,1,4,1,2,4,2,5,3,4,4,2,1,4,3,1,3,2,3,3,5,3,2,4,3,2,5,4,47,37,52,42,51
