,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
"neither level-headed nor impulsive, neither happy nor depressed, neither patient nor irritable, neither unselfconscious nor self-conscious, and neither at ease nor nervous",3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit silent, a bit gloomy, a bit timid, a bit unassertive and a bit unfriendly",2,3,3,2,3,2,4,3,2,2,4,2,3,4,2,4,3,3,4,3,2,2,4,2,3,4,3,3,3,3,4,2,3,4,3,4,3,3,4,4,2,4,3,4,3,2,4,2,2,3,4,3,3,4,3,2,2,3,2,3
"a bit nervous, a bit emotionally unstable, a bit depressed, a bit discontented and a bit self-conscious",2,3,3,2,3,2,3,3,2,3,4,3,3,4,3,4,3,3,4,3,2,2,4,2,3,4,3,3,2,3,4,3,3,5,3,4,3,3,4,4,2,3,3,2,3,2,3,2,4,3,3,3,3,4,3,2,3,4,4,3
"unsophisticated, unanalytical, socially conservative, unaesthetic and  unimaginative",3,3,3,3,5,3,5,3,3,1,4,3,4,3,5,4,4,4,3,1,3,3,3,4,5,3,3,4,4,5,3,4,4,3,1,4,4,4,3,1,3,4,4,4,5,3,3,4,3,5,4,4,4,3,5,3,3,3,3,5
"extremely unaltruistic, extremely unkind, extremely stingy, extremely disagreeable and extremely self-important",1,1,3,1,3,5,1,5,1,1,3,5,1,3,5,3,5,3,3,3,5,5,3,5,3,3,1,5,3,3,3,1,3,3,3,1,5,5,3,3,3,5,1,5,3,3,5,5,3,3,1,1,5,3,3,1,1,5,3,5
"neither artistically unappreciative nor artistically appreciative, neither unaesthetic nor aesthetic, neither unimaginative nor imaginative, neither unintelligent nor intelligent, and neither predictable nor spontaneous",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"very agreeable, very trustful, very cooperative, very kind and very humble",4,5,3,4,3,3,5,3,5,4,3,1,5,3,4,4,1,5,3,4,3,1,3,5,3,3,5,3,4,3,4,5,4,3,4,4,1,4,3,4,4,1,5,4,3,4,1,1,3,3,4,5,5,3,3,4,5,2,2,4
"a bit at ease, a bit emotionally stable, a bit happy, a bit contented and a bit unselfconscious",3,4,3,4,3,3,4,3,4,4,3,3,4,2,4,3,3,4,3,4,3,3,3,4,3,3,4,3,4,3,3,4,4,3,4,3,3,4,2,4,3,3,4,4,3,3,2,3,4,3,3,4,4,2,3,3,4,3,2,4
"a bit predictable, a bit unimaginative, a bit artistically unappreciative, a bit uninquisitive and a bit unreflective",3,3,3,3,4,3,4,3,3,2,4,3,4,3,2,3,3,4,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,3,3,4,4,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2
"a bit lazy, a bit impractical, a bit extravagant, a bit disorganized and a bit unsure",3,3,4,3,3,3,3,4,3,4,3,3,2,3,3,3,3,2,3,3,2,3,4,3,3,4,3,4,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,4,3,3,4,3,2,3,3,3,3,4,3,3
"unenergetic, timid, unadventurous, silent and  inactive",1,3,3,3,3,1,3,5,2,1,5,3,3,3,2,5,3,3,4,3,1,1,5,2,4,4,3,3,3,4,5,3,3,3,3,5,2,2,4,3,1,3,3,3,3,1,3,2,2,3,5,3,2,4,4,1,3,2,2,2
"very generous, very cooperative, very unselfish, very honest and very kind",4,5,3,4,3,4,5,2,5,5,3,1,5,3,4,3,1,4,3,4,3,1,3,5,3,3,5,2,4,3,3,5,4,3,4,4,1,5,3,4,4,2,5,4,3,4,1,1,3,3,3,5,5,3,3,5,5,2,3,4
"extremely immoral, extremely stingy, extremely unaltruistic, extremely disagreeable and extremely dishonest",3,1,3,1,3,3,1,5,1,3,3,5,1,3,4,3,5,3,3,3,5,5,3,1,3,3,1,5,3,3,3,1,3,3,3,5,5,1,3,3,3,5,1,3,3,3,5,5,3,3,1,1,2,3,3,3,1,5,3,3
"cheerful, extraverted, talkative, adventurous and daring and  active",5,4,2,5,2,5,5,1,5,5,1,2,4,1,5,1,1,4,2,5,5,2,1,5,1,1,5,4,4,1,1,5,4,2,5,4,1,5,1,4,5,2,5,3,1,5,1,1,5,2,1,5,5,1,2,5,5,4,2,5
"extraverted, energetic, cheerful, assertive and  friendly",5,5,2,5,2,5,5,1,5,5,1,2,5,2,5,1,1,4,2,5,5,2,2,5,1,1,5,2,5,1,1,5,4,2,5,2,2,5,1,4,5,2,5,4,1,5,1,1,5,2,2,5,5,1,2,5,5,2,2,5
"very emotionally unstable, very tense, very self-conscious, very nervous and very angry",1,1,3,1,3,2,2,1,1,3,1,5,1,5,2,3,1,1,5,3,1,5,5,1,1,3,1,1,1,1,5,2,2,5,3,5,5,2,5,4,2,5,2,1,3,2,1,1,1,3,1,2,2,5,3,2,1,5,5,3
"extremely gloomy, extremely unadventurous, extremely unenergetic, extremely silent and extremely timid",1,3,3,1,3,1,3,5,1,1,5,2,2,1,1,5,3,3,5,2,1,1,5,1,5,5,3,2,1,5,5,3,3,5,3,5,1,1,5,3,1,3,3,3,5,1,3,2,1,2,5,3,2,5,5,1,2,1,2,1
"extremely aesthetic, extremely sophisticated, extremely reflective, extremely emotionally aware and extremely socially progressive",4,5,1,3,1,3,5,1,4,5,1,1,4,4,5,3,1,4,4,5,3,2,2,4,1,3,4,1,4,1,2,5,4,4,5,2,1,4,4,5,4,3,4,4,1,3,1,1,3,1,2,5,4,2,1,4,4,2,4,5
"emotionally stable, calm, level-headed, relaxed and  contented",3,4,3,5,3,3,5,3,4,4,3,3,5,1,4,3,3,4,2,4,3,2,2,5,3,3,4,3,5,3,3,4,4,2,4,3,2,4,2,4,3,3,5,5,3,3,2,2,4,3,3,4,4,1,3,3,4,2,1,4
"unsophisticated, predictable, unintelligent, unanalytical and  unreflective",3,3,3,3,3,3,4,4,3,1,3,3,4,3,1,3,3,3,3,3,3,3,3,3,5,3,3,4,3,5,3,4,3,3,3,5,3,3,3,1,4,3,4,3,5,3,3,3,3,3,4,4,4,3,5,4,4,3,3,5
"very silent, very unenergetic, very unassertive, very unadventurous and very timid",1,3,3,3,3,1,3,4,2,1,5,2,3,2,1,5,3,3,3,3,1,1,4,2,3,4,3,3,3,3,5,3,3,3,3,5,1,2,4,3,1,3,3,4,3,1,3,3,2,3,5,3,2,3,3,1,3,3,1,1
"very humble, very generous, very unselfish, very kind and very moral",3,5,3,4,3,3,5,2,4,4,3,1,4,3,4,3,1,4,3,4,3,1,3,4,3,3,5,3,4,3,3,5,4,3,4,4,1,4,3,4,4,2,4,4,3,3,1,1,3,3,3,5,4,3,3,4,5,2,3,4
"extremely trustful, extremely moral, extremely altruistic, extremely humble and extremely unselfish",3,5,3,3,3,3,5,1,5,4,3,1,5,3,3,3,1,4,3,4,3,1,3,5,3,3,5,1,4,3,3,5,4,3,4,4,1,4,3,4,3,1,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,1,3,4
"very self-efficacious, very hardworking, very responsible, very organized and very thorough",4,3,1,5,3,4,5,1,5,5,2,2,5,1,5,3,1,5,3,4,5,1,1,5,1,1,4,1,5,1,3,5,5,2,4,2,1,5,2,5,5,2,5,5,1,4,1,1,3,3,1,5,5,1,1,5,4,1,1,5
"extremely friendly, extremely energetic, extremely assertive, extremely bold and extremely active",5,5,1,1,1,5,5,1,5,5,1,1,5,1,5,1,1,5,1,5,5,5,1,5,1,1,5,1,5,1,1,5,5,2,5,1,1,5,1,5,5,1,5,5,1,5,1,1,5,1,1,5,5,1,1,5,5,1,4,5
"very sympathetic, very trustful, very moral, very humble and very altruistic",3,5,3,4,3,3,5,2,4,4,3,1,5,3,4,3,1,4,3,4,3,1,3,4,3,3,5,1,4,3,4,5,4,3,4,4,2,4,3,4,3,1,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,2,3,4
"unselfconscious, calm, easygoing, happy and  contented",4,4,3,5,3,3,5,3,4,4,3,2,4,2,4,3,2,3,2,4,3,2,2,5,3,3,4,3,4,2,3,4,4,2,4,3,2,4,1,3,4,2,4,4,2,3,1,2,4,3,3,4,4,1,3,4,4,3,1,4
"a bit energetic, a bit extraverted, a bit friendly, a bit adventurous and daring and a bit cheerful",4,4,3,4,2,4,5,2,4,5,2,2,4,2,4,2,2,3,3,4,4,2,2,4,2,2,4,4,4,1,2,4,4,2,4,3,2,4,2,4,4,2,4,4,2,4,2,2,4,2,2,4,4,2,2,4,4,4,2,4
"neither unassertive nor assertive, neither gloomy nor cheerful, neither unadventurous nor adventurous and daring, neither unenergetic nor energetic, and neither introverted nor extraverted",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"neither unsophisticated nor sophisticated, neither unreflective nor reflective, neither emotionally closed nor emotionally aware, neither uncreative nor creative, and neither artistically unappreciative nor artistically appreciative",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"very undisciplined, very disorganized, very lazy, very extravagant and very careless",3,3,5,3,3,3,3,5,3,3,3,3,1,3,3,3,3,1,3,3,2,3,5,3,3,4,3,5,3,3,3,3,1,3,3,3,4,1,3,3,2,3,1,3,3,3,3,5,3,3,4,3,1,3,3,3,3,5,3,3
"angry, self-conscious, irritable, depressed and  anxious",1,2,4,1,2,2,2,3,1,2,5,5,2,5,2,4,2,2,5,2,2,4,4,1,2,4,2,3,1,1,4,2,3,5,3,4,4,2,5,4,1,4,2,2,2,1,4,1,5,2,2,2,2,5,3,1,2,4,5,2
"very humble, very agreeable, very sympathetic, very cooperative and very kind",4,5,3,4,3,3,5,3,4,4,3,1,5,3,4,4,1,4,3,4,2,1,3,4,3,3,5,3,4,3,4,5,4,3,4,4,1,4,3,4,4,2,5,4,3,3,1,1,3,3,4,5,4,3,3,4,5,3,2,4
"neither easygoing nor anxious, neither relaxed nor tense, neither happy nor depressed, neither patient nor irritable, and neither level-headed nor impulsive",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely socially progressive, extremely intelligent, extremely analytical, extremely artistically appreciative and extremely curious",3,5,2,3,1,3,5,1,4,5,1,2,4,3,5,3,1,4,4,5,3,2,2,4,1,2,4,1,3,1,3,5,3,3,5,2,1,5,3,5,4,2,5,3,1,3,1,1,3,1,1,5,5,3,1,5,3,2,2,5
"a bit unintelligent, a bit unaesthetic, a bit uncreative, a bit unsophisticated and a bit unimaginative",3,3,4,3,4,3,3,3,3,2,3,3,3,3,4,3,3,3,3,2,3,3,3,3,4,3,3,4,3,4,3,3,3,3,2,4,3,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4
"very irresponsible, very messy, very negligent, very extravagant and very impractical",3,3,5,2,3,3,2,5,3,3,3,4,1,4,2,3,3,1,3,3,2,3,5,2,3,3,3,5,2,3,3,2,1,3,3,3,4,1,3,3,3,3,1,2,3,3,3,5,3,3,4,2,1,3,3,4,3,5,5,3
"unadventurous, inactive, gloomy, unfriendly and  introverted",1,2,3,2,3,1,3,5,1,1,5,4,3,5,1,5,4,3,5,2,1,2,4,2,4,5,2,3,3,4,5,2,3,4,3,5,4,2,5,4,1,5,3,4,3,1,5,3,2,4,4,2,2,5,4,1,2,3,4,2
"unassertive, gloomy, unfriendly, unenergetic and  silent",1,2,3,1,3,1,3,4,1,2,5,3,3,4,2,5,3,3,4,3,1,1,4,1,3,4,2,3,2,3,5,2,3,4,3,5,4,2,5,3,1,4,2,4,3,1,4,3,3,3,4,2,2,5,3,1,2,3,3,2
"uncooperative, unkind, selfish, disagreeable and  unaltruistic",1,1,1,1,1,3,1,3,1,1,3,5,2,5,1,5,5,5,5,2,5,5,3,2,5,2,1,4,1,3,3,1,5,5,2,5,5,3,2,5,5,5,1,3,5,3,5,5,3,5,3,1,2,3,5,2,1,4,3,3
"a bit agreeable, a bit cooperative, a bit altruistic, a bit unselfish and a bit trustful",3,4,3,4,3,3,4,3,4,4,3,2,4,3,4,3,2,4,3,4,3,2,3,4,3,3,4,3,4,3,4,4,4,3,4,3,2,4,3,4,4,2,4,4,3,3,2,2,3,3,3,4,4,3,3,4,4,3,3,4
"orderly, self-disciplined, organized, conscientious and  thorough",3,4,1,4,3,4,5,1,4,4,3,3,5,1,4,4,1,5,3,4,4,2,1,4,3,3,4,1,4,1,3,5,5,3,4,3,1,5,3,4,4,3,5,5,1,3,1,1,3,3,2,5,5,3,3,4,4,1,1,4
"disorganized, lazy, undisciplined, irresponsible and  impractical",3,3,5,3,3,3,3,5,3,3,3,3,1,3,2,3,3,1,3,3,2,3,5,3,3,4,3,4,3,3,3,3,4,3,3,3,3,1,3,3,2,3,1,3,3,3,3,5,3,3,4,3,2,3,3,3,3,4,3,3
"very creative, very socially progressive, very curious, very intelligent and very imaginative",4,5,2,3,1,4,5,1,5,5,1,2,4,3,5,3,1,3,3,5,4,2,2,4,1,2,4,2,4,1,3,5,4,3,5,2,2,4,1,5,4,2,4,4,1,4,1,2,3,1,2,4,4,3,1,5,4,3,3,5
"extremely unsophisticated, extremely predictable, extremely unimaginative, extremely artistically unappreciative and extremely socially conservative",1,3,3,3,5,3,5,3,3,1,3,3,5,3,1,4,3,5,3,1,3,3,3,4,5,3,3,3,3,5,3,3,5,3,1,5,3,4,3,1,3,4,5,5,5,3,5,3,3,5,5,4,5,3,5,3,3,3,3,1
"very unaltruistic, very distrustful, very self-important, very selfish and very stingy",3,1,3,2,3,5,1,3,2,3,3,5,2,3,4,3,5,5,4,3,5,4,3,5,3,3,1,4,3,3,3,1,3,3,3,5,5,5,3,4,4,5,1,4,3,3,5,5,3,3,1,1,4,3,3,3,1,4,3,4
"very unenergetic, very inactive, very introverted, very unassertive and very unadventurous",1,3,3,3,3,1,3,5,2,1,5,3,3,3,2,5,3,3,4,3,1,1,5,3,4,5,3,3,3,3,5,3,3,3,3,5,3,2,4,4,1,3,3,4,3,1,3,3,3,3,5,3,2,4,4,1,3,3,3,2
"lazy, careless, negligent, messy and  undisciplined",3,2,5,2,3,2,2,5,2,2,3,3,1,3,2,3,3,1,3,3,2,3,5,2,4,4,3,5,2,3,3,2,5,3,3,4,4,1,3,2,1,3,1,3,3,3,3,5,3,3,4,2,1,3,4,2,3,5,3,2
"very calm, very patient, very easygoing, very happy and very emotionally stable",3,4,3,5,3,3,5,3,4,4,3,2,5,1,4,3,2,4,2,4,3,2,3,5,3,3,4,3,5,3,3,4,4,2,4,3,2,4,1,4,3,3,5,5,3,3,1,2,4,3,3,5,4,1,3,4,4,3,1,4
"extremely discontented, extremely angry, extremely impulsive, extremely irritable and extremely self-conscious",1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1,1,5,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,2,1,5,1,5,5,1,5,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,5,5,1
"very nervous, very tense, very impulsive, very discontented and very anxious",2,2,5,1,3,3,4,2,2,4,1,5,2,5,3,1,1,1,5,3,2,5,5,1,2,5,2,5,1,1,5,3,2,5,3,5,5,2,5,5,2,5,2,2,1,5,1,5,5,2,2,3,2,5,3,2,2,5,5,3
"unselfconscious, at ease, calm, happy and  relaxed",4,4,3,4,3,3,5,3,4,4,3,2,4,2,4,3,2,4,2,4,3,2,2,5,3,3,4,3,4,2,3,4,4,2,4,3,2,4,1,4,4,2,4,4,2,3,1,2,4,3,3,4,4,1,3,4,4,3,1,4
"messy, unsure, undisciplined, extravagant and  careless",3,3,5,2,3,3,3,4,3,4,3,3,1,4,3,3,3,1,4,3,2,4,4,2,3,3,3,5,2,3,3,3,1,3,3,3,4,2,3,3,3,3,2,2,3,3,3,5,3,3,3,2,2,3,3,4,3,5,4,3
"unimaginative, emotionally closed, unreflective, unintelligent and  artistically unappreciative",3,2,3,3,5,3,3,3,2,1,3,3,3,3,1,3,4,3,3,1,3,3,3,3,5,3,3,3,3,5,3,3,3,3,1,4,3,3,3,1,3,3,3,4,5,3,5,3,3,5,3,3,3,3,5,1,3,3,1,1
"extremely easygoing, extremely emotionally stable, extremely relaxed, extremely unselfconscious and extremely at ease",4,4,3,5,3,3,5,3,5,4,3,2,5,1,4,3,3,3,1,4,3,1,2,5,3,3,5,3,5,3,3,4,3,1,4,3,2,4,1,4,3,2,5,5,2,3,1,2,5,3,3,5,5,1,3,4,5,3,1,4
"imaginative, emotionally aware, reflective, intelligent and  artistically appreciative",3,5,2,3,1,3,5,2,4,5,2,2,4,3,5,3,1,3,4,5,3,2,3,4,2,3,4,2,4,1,4,4,4,3,5,3,2,4,3,5,4,3,4,4,1,3,1,1,3,2,2,4,4,3,1,4,4,3,4,5
"altruistic, trustful, honest, moral and  cooperative",4,5,3,4,3,3,5,2,4,4,3,1,5,2,4,5,1,4,3,4,3,1,3,4,3,3,5,1,4,3,3,5,4,3,4,4,1,4,3,4,4,2,5,4,3,3,1,1,3,3,3,5,5,3,3,4,5,1,3,4
"neither irresponsible nor responsible, neither lazy nor hardworking, neither undisciplined nor self-disciplined, neither impractical nor practical, and neither unsure nor self-efficacious",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit self-important, a bit uncooperative, a bit disagreeable, a bit unaltruistic and a bit unkind",3,2,3,2,3,5,2,3,2,3,3,5,2,4,4,3,4,3,4,2,5,4,3,5,4,2,2,4,3,1,2,2,3,3,3,4,4,4,3,5,3,4,2,4,3,3,4,4,3,4,2,2,3,3,3,2,2,4,3,4
"a bit discontented, a bit angry, a bit tense, a bit self-conscious and a bit anxious",2,3,3,2,2,3,3,2,2,3,3,4,3,4,3,3,2,3,4,3,2,3,4,2,3,3,2,4,2,2,4,3,3,4,3,4,4,3,4,4,2,4,3,2,2,2,2,2,4,2,2,3,4,4,3,2,2,4,4,3
"very patient, very contented, very at ease, very level-headed and very calm",3,4,3,5,3,3,5,3,4,4,4,2,5,1,4,4,2,4,1,4,3,1,2,5,3,3,4,2,5,3,3,4,4,1,4,3,1,4,2,4,3,3,5,5,3,3,1,1,5,3,3,5,5,1,3,3,4,2,1,4
"a bit self-efficacious, a bit self-disciplined, a bit conscientious, a bit hardworking and a bit organized",3,3,2,3,3,3,4,2,4,4,3,3,4,3,4,3,2,4,3,3,3,2,2,4,3,3,3,2,4,2,3,4,4,3,4,3,3,4,3,4,4,3,4,4,3,3,2,2,3,3,2,4,4,3,3,4,3,3,2,4
"a bit disorganized, a bit lazy, a bit impractical, a bit unsure and a bit negligent",3,3,4,3,3,3,3,4,3,3,3,3,2,3,3,3,3,2,4,3,2,3,4,3,3,4,3,4,3,3,3,3,2,3,3,4,3,2,3,3,2,3,3,3,3,3,3,4,3,3,4,3,2,3,3,3,3,4,3,3
"very angry, very self-conscious, very nervous, very emotionally unstable and very depressed",1,1,4,1,1,1,3,3,1,2,5,5,1,5,2,4,1,1,5,3,1,5,5,1,3,5,1,1,1,1,5,2,2,5,3,5,5,1,5,5,1,5,1,1,3,1,1,1,1,2,1,2,2,5,1,1,1,5,5,1
"very unsure, very careless, very lazy, very undisciplined and very irresponsible",3,3,5,2,3,2,2,5,2,2,3,3,5,3,2,3,3,1,3,3,2,3,5,2,3,4,2,5,2,3,3,2,2,3,3,3,3,5,3,3,2,3,5,2,3,3,3,5,3,3,4,2,1,3,3,2,3,5,3,3
"extremely honest, extremely trustful, extremely cooperative, extremely agreeable and extremely kind",4,5,3,4,3,3,5,2,5,5,3,1,5,2,4,3,1,5,3,4,3,1,3,5,3,3,5,2,5,1,3,5,4,3,4,4,1,5,1,4,4,1,5,4,3,4,1,1,3,3,3,5,5,3,3,5,5,2,2,4
"extremely happy, extremely easygoing, extremely level-headed, extremely relaxed and extremely unselfconscious",5,5,2,5,3,3,5,1,5,5,1,1,5,1,5,3,1,4,1,5,3,1,1,5,3,3,5,3,5,1,1,5,4,1,5,1,1,5,1,4,4,1,5,5,1,4,1,1,5,2,2,5,5,1,3,5,5,2,1,5
"neither socially conservative nor socially progressive, neither predictable nor spontaneous, neither emotionally closed nor emotionally aware, neither unsophisticated nor sophisticated, and neither unaesthetic nor aesthetic",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely unselfish, extremely generous, extremely trustful, extremely altruistic and extremely moral",4,5,3,4,3,3,5,1,5,5,3,1,5,3,4,3,1,4,3,4,4,1,3,5,3,3,5,1,4,3,3,5,4,3,5,4,1,5,3,5,4,1,5,4,3,3,1,1,3,3,3,5,5,3,3,5,5,1,3,4
"discontented, impulsive, self-conscious, angry and  anxious",2,2,4,1,3,3,2,3,2,3,3,4,2,5,2,3,3,2,5,3,2,4,4,1,3,3,2,4,1,2,4,2,2,5,3,4,4,2,4,4,2,4,2,2,3,2,3,3,5,3,2,2,2,5,3,2,2,4,5,3
"very unenergetic, very inactive, very timid, very gloomy and very unfriendly",1,2,3,1,3,1,2,5,1,1,5,2,2,5,2,5,4,3,4,3,1,1,5,1,3,5,2,3,2,3,5,1,3,4,3,5,4,1,5,3,1,5,2,3,3,1,5,3,1,3,4,2,1,5,3,1,1,3,2,2
"a bit self-important, a bit uncooperative, a bit distrustful, a bit stingy and a bit disagreeable",2,2,2,2,3,4,2,2,2,2,3,4,2,4,3,3,4,3,4,2,4,4,3,2,4,2,2,2,2,1,2,2,3,3,3,1,4,3,3,5,3,4,2,4,2,3,4,2,3,4,2,2,3,3,3,2,2,2,3,3
"very emotionally aware, very analytical, very creative, very spontaneous and very artistically appreciative",4,5,2,4,1,4,5,1,4,5,1,2,4,3,5,3,1,3,4,5,3,2,2,4,1,2,4,2,4,1,3,4,3,3,5,3,2,4,3,5,4,2,4,3,1,4,1,2,3,1,2,5,4,3,1,4,4,3,4,5
"altruistic, kind, unselfish, trustful and  cooperative",4,5,3,4,3,3,5,2,5,4,3,1,5,2,4,3,1,4,3,4,3,1,3,5,3,3,5,2,4,3,3,5,4,3,4,4,1,4,3,4,4,1,5,4,3,4,1,1,3,3,3,5,5,3,3,4,5,2,2,4
"extremely self-important, extremely distrustful, extremely unkind, extremely stingy and extremely unaltruistic",1,1,3,1,3,5,1,1,1,1,3,5,1,1,4,3,5,5,4,3,5,5,3,5,4,1,1,1,1,1,1,1,3,3,2,1,5,4,3,5,3,5,1,5,1,3,5,5,3,4,1,1,3,3,3,2,1,1,1,4
"a bit active, a bit bold, a bit energetic, a bit friendly and a bit cheerful",4,4,3,4,3,4,4,2,4,4,2,2,4,3,4,2,2,3,3,4,4,2,2,4,3,2,4,3,4,2,2,4,4,3,4,3,2,4,2,4,4,2,4,4,2,4,2,2,3,3,2,4,4,2,3,4,4,3,3,4
"irresponsible, unsure, undisciplined, careless and  disorganized",3,3,5,2,3,2,2,5,2,3,3,3,1,4,2,3,3,1,3,3,2,4,5,2,3,3,3,5,2,3,3,3,2,3,3,4,4,2,3,3,3,3,5,2,3,3,3,5,3,3,4,2,2,3,3,3,3,4,4,3
"very tense, very self-conscious, very depressed, very emotionally unstable and very discontented",1,2,3,1,3,2,3,3,2,2,5,4,2,5,2,3,3,2,5,3,2,4,5,1,3,4,2,3,1,3,5,2,3,5,3,5,3,2,5,4,1,5,2,1,3,2,3,2,5,2,3,2,2,5,3,1,2,4,5,2
"extremely thorough, extremely organized, extremely self-efficacious, extremely responsible and extremely conscientious",3,3,1,4,5,4,5,1,5,5,1,1,5,1,5,3,1,5,3,2,5,1,1,5,1,1,4,1,5,1,3,5,5,2,3,1,1,5,3,5,5,3,5,5,1,3,1,1,4,3,1,5,5,1,1,5,4,1,1,5
"extremely unsophisticated, extremely socially conservative, extremely unimaginative, extremely emotionally closed and extremely predictable",1,1,1,3,5,2,5,3,1,1,5,5,5,1,1,5,5,5,3,1,3,1,3,4,5,3,2,1,5,5,5,3,5,3,2,5,3,5,3,1,3,5,5,5,5,1,5,1,3,5,5,5,5,3,5,1,2,1,1,1
"unaesthetic, uncreative, socially conservative, unimaginative and  unintelligent",2,3,3,3,5,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,5,3,3,3,3,5,3,3,3,3,2,4,3,3,3,1,3,3,3,3,5,3,3,3,3,4,3,3,3,3,5,3,3,3,3,1
"altruistic, humble, cooperative, kind and  trustful",3,5,3,4,3,3,5,2,4,4,3,1,5,2,3,3,1,4,3,4,2,1,3,4,3,3,5,2,4,3,3,5,4,3,4,4,1,4,3,4,4,2,5,4,2,3,1,1,3,3,3,5,5,3,3,4,5,2,3,4
"a bit aesthetic, a bit artistically appreciative, a bit creative, a bit spontaneous and a bit imaginative",3,4,3,3,2,3,4,2,4,5,2,2,3,3,4,3,2,3,3,5,3,2,3,4,2,3,4,3,3,1,3,4,3,3,5,3,2,3,3,4,4,3,4,3,2,3,2,2,3,2,2,4,4,3,2,4,4,3,3,4
