"Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness"
19,51,41,21,57
35,49,49,40,56
46,54,55,16,60
56,57,48,12,60
38,42,37,33,49
31,55,54,41,38
37,34,51,59,52
35,56,52,21,53
35,25,40,57,31
38,41,41,53,31
15,32,33,59,26
32,45,57,31,46
37,35,34,42,52
34,43,42,51,44
49,53,54,28,54
16,49,23,53,54
29,48,57,46,43
50,38,58,29,52
22,45,38,48,48
37,41,32,45,55
28,44,47,41,19
41,48,41,25,50
34,59,40,39,42
34,49,37,48,53
42,42,52,21,43
39,53,56,23,48
39,47,40,27,50
41,42,47,25,43
44,29,30,47,40
31,30,35,57,47
17,57,48,49,44
37,44,36,51,31
45,56,60,35,57
48,33,32,25,58
56,44,37,35,56
27,44,49,22,47
43,50,55,16,57
42,56,59,25,55
48,47,57,24,34
30,32,36,35,36
39,53,26,46,44
33,52,56,24,39
49,47,58,22,48
46,57,51,22,44
43,53,53,28,49
29,34,49,36,56
42,50,60,15,59
23,39,54,37,55
41,34,40,37,49
33,52,44,37,50
32,46,60,31,50
14,56,38,31,57
29,47,53,46,42
24,41,19,53,53
22,37,29,44,51
40,43,31,53,18
38,42,58,42,56
46,43,33,20,54
37,42,38,34,33
32,54,60,21,56
34,37,36,29,39
38,46,47,34,60
31,45,32,33,45
49,38,55,16,46
32,37,46,30,43
23,49,21,44,45
23,44,31,27,43
38,57,58,36,53
18,49,44,22,17
43,59,51,26,55
25,35,43,24,40
50,45,44,38,54
35,38,38,31,34
43,47,59,29,54
57,50,56,31,45
28,43,49,28,50
36,45,43,44,46
24,50,49,46,45
40,52,58,21,47
36,43,51,29,53
38,48,53,27,38
23,55,54,52,53
29,46,46,48,60
23,53,49,28,54
37,47,59,20,58
24,50,32,42,28
45,16,30,22,55
39,60,55,18,55
28,54,59,31,58
28,49,30,36,52
30,48,41,43,40
29,47,43,38,43
14,36,34,45,41
27,46,48,47,51
34,30,60,22,39
37,53,60,33,44
20,36,51,40,55
41,53,49,28,37
30,39,35,35,45
37,56,54,36,41
39,33,54,25,42
32,35,37,35,36
35,29,36,36,35
32,52,27,59,56
50,60,60,12,60
36,29,22,51,47
39,46,60,24,21
54,49,35,40,56
41,45,58,45,56
41,35,42,38,39
48,36,41,22,48
28,37,37,12,45
40,50,39,13,57
29,36,30,47,54
36,54,58,33,41
54,59,60,13,54
35,44,40,33,33
24,32,30,35,45
42,40,40,30,44
33,41,50,25,56
38,50,56,19,50
59,54,57,17,56
23,45,43,38,34
30,52,48,29,53
21,39,49,56,54
41,52,57,17,51
30,46,48,40,46
49,38,47,39,37
56,50,60,19,43
46,52,55,31,60
39,54,45,22,53
32,38,32,40,55
56,48,58,14,42
40,60,57,19,58
39,50,48,18,47
46,35,23,37,45
26,47,45,21,55
48,58,57,13,60
47,46,55,29,58
47,52,54,26,51
44,56,56,23,52
39,38,43,32,37
38,41,43,39,37
49,59,50,25,59
48,39,48,31,38
42,60,60,21,54
32,49,54,27,44
38,48,59,20,46
47,53,53,17,55
28,60,56,16,60
46,55,56,26,50
43,45,59,25,47
23,49,56,34,56
45,50,59,12,50
50,55,57,18,40
27,59,53,43,54
29,41,35,38,51
26,47,40,40,48
44,56,57,20,46
40,47,51,28,43
32,32,46,42,43
45,49,43,18,24
25,56,46,33,48
42,46,55,23,49
14,48,40,42,50
39,47,47,30,38
